,statement,condition
8094, Video that claimed shows a Covid-19 demonstration in Poland demanding the government end the pandemic,FALSE
8095, Vaccinated from COVID-19 will die in 6-12 months.,NO EVIDENCE
8096, The anti-quarentine protesters at the Obelisco (CABA Argentina) were actually members of the La Cámpora militia.,FALSE
8097, Eating raw pistachio protects you from COVID-19,FALSE
8098, WHO,MISLEADING
8099, The World Integrated Trade Solutions (WITS) website shows that COVID-19 test kits were being sold in 2017 and 2018,FALSE
8100, Countries bought Covid-19 tests in 2017,FALSE
8101, “Rapid test for COVID-19”. A video says holding your breath during the time that a red dot passes from one side of the screen to the other is a way to know if you have Covid-19.,FALSE
8102, PGA golfer Bubba Wallace wrote Facebook post that criticizes measures taken to mitigate the spread of COVID-19.,FALSE
8103," Supal 20, an Ecuadorian remedy, cures COVID-19",FALSE
8104, McDonald’s will close half of its restaurants in Colombia,FALSE
8105, North Macedonia in 2018 procured Covid-19 tests and equipment.,FALSE
8106, A post shows a photo of a doctor who died of coronavirus.,FALSE
8107, Russian healthcare workers are celebrating a new vaccine for the novel coronavirus,FALSE
8108, You can find out if you have COVID-19 by simply holding your breath,FALSE
8109, Pastor John MacArthur claimed that “there is no pandemic” and that only 6% of the deaths attributed to SARS-CoV-2 in the United States were caused by covid-19,FALSE
8110, “German naturopath Annette Lillinger” claims  mRNA (messenger RNA) vaccines will modify “individual genetic material”,FALSE
8111, An Italian doctor saying that vaccination weakens people’s immunity and that “covid-19” is the name of a population reduction plan.,FALSE
8112," According to the New York Times, PCR tests are completely innacurate since up to 90% of the results can be false.",MISLEADING
8113, Photographs are from the 1918 flu epidemic.,FALSE
8114, A viral chain that claims a COVID-19 vaccine will cause “irreversible genetic damage”,FALSE
8115, chlorine dioxide is used in the disinfection of blood for transfusions,FALSE
8116," Covid-19 is only a laboratory pandemic, not a deadly disease – we have herd immunity already and PCR tests don’t prove infections",PARTLY FALSE
8117, A study by the US National Bureau of Economic Research show that the containment measures have no effect on the pandemic,PARTLY FALSE
8118, A policeman in Poland argues that pandemic is a fiction.,FALSE
8119," According to data from the World Bank, Greece was importing coronavirus diagnostic tests since 2017 which means the authorities knew the COVID-19 pandemic would happen for yeras.",FALSE
8120, The publication with an illustration by the Italian artist Walter Molino entitled “Life in 2022” and is linked to a possible pandemic.,MISLEADING
8121, COVID-19 is not real. It is part of a program for “massive depopulation of over 80% of the population.” The term COVID-19 actually means “Certificado de Identificación de Vacunación con Inteligencia Artificial (Certificate of Identification of Vaccination with Artificial Intelligence).”,FALSE
8122, Dr. Fauci said that asymptomatic people do not spread COVID-19,MISLEADING
8123, COVID-19 is a pretext to vaccinate ourselves with artificial intelligence and reduce the population by 80%,FALSE
8124," Doctors for the Argentine Truth protest against the measures implemented during the covid-19 pandemic by the government. Chinda Brandolino and Leonardo González Bayona, members of the group, assure that the virus that causes covid-19 was created by man, that masks do not prevent contagion and that chlorine dioxide can cure the disease.",FALSE
8125," Foreign Minister of Ecuador, Luis Gallegos, said that that country cannot pay for a vaccine against the new coronavirus.",MISLEADING
8126, A protest against coronavirus restrictions takes place in the British capital of London,FALSE
8127," A prompt travel ban in 2003 resulted in zero SARS cases in the country, whereas a delayed ban in 2020 led to the Philippines recording the highest COVID-19 cases in Asia.",FALSE
8128, Project of law intends to turn vaccination against COVID-19 mandatory; people who refuse it will be arrested,
8129, United States admitted that only 6% of reported deaths were “actually” from coronavirus,FALSE
8130," first only in the nose, second in the throat, and lastly in the lungs.",FALSE
8131, Homemade masks are as effective in protecting people from COVID-19 as underwear is effective for preventing gases from smelling.,FALSE
8132," Brazil’s Federal Government is distributing a “Covid Kit”, with hydroxichloroquine, azitromicin and ivermectin, to municipal administrations.",FALSE
8133, The COVID-19 swab test damages the hemato encephalic barrier,FALSE
8134, China and Russia’s COVID-19 vaccines are no different from the flu vaccine.,FALSE
8135, A censored report from gendarmes on COVID-19 reveal 5G and COVID-19 are linked,FALSE
8136, Mask create hypoxia and c02 intoxication,FALSE
8137, Project of law intends to turn vaccination against COVID-19 mandatory; people who refuse it will be arrested,FALSE
8138, Government of the Brazilian state of Bahia opened a bid to buy hydroxychloroquine even though the federal government offers the drug for free,FALSE
8139, Number of deaths in Brazil by COVID-19 drops soon after beaches become crowded,FALSE
8140, Bolivia does not manage access to a coronavirus vaccine,FALSE
8141, Metrosalud is asking pharmacies in Medellín not to sell flu vaccines because they cause lung problems.,FALSE
8142, This photo shows the people who’ve died from COVID-19,FALSE
8143," Coronavirus is a political epidemic, i.e. a scenario planned by politicians.",NO EVIDENCE
8144, The existence of the novel coronavirus is not proven scientifically.,FALSE
8145, A self-test with a CO2 measuring device shows that the level of CO2 rises dangerously under a face mask,FALSE
8146," A rally against coronavirus restrictions takes place in Seoul, South Korean",FALSE
8147," According to german pediatrician Guido C. Hofmann children cannot, under any circumstance transmit the SARS-CoV-2 virus.",FALSE
8148, SARS-CoV-2 genetic material is identical to a section of the human chromosome 8 making the PCR tests for the coronavirus useless since they can mistake our own genetic material for that of the virus giving a positive result even if we do not carry the virus.,FALSE
8149, Korean drama series “My Secret Terrius” predicts Covid-19 pandemic since 2018,FALSE
8150, CDC data shows that only 6% of COVID-19 victims were killed by the coronavirus alone,FALSE
8151, The pandemic is a plan to control the population,FALSE
8152, All students are going to be PCR tested when schools are opened.,FALSE
8153, Japanese Prime Minister resigned because the economy broke down due to epidemic,FALSE
8154, COVID-19 Means ‘Certificate Of Identification Of Vaccination With Artificial Intelligence’,FALSE
8155, COVID-19 case numbers in the U.S. are inflated due to the high sensitivity of the RT-PCR diagnostic test,FALSE
8156, Parents must fill out this form to refuse covid vaccination at school,FALSE
8157, Masks increase blood acidity and impair immunity,FALSE
8158, China imported Swedish vaccine and left its own immunization only to Brazilians,MISLEADING
8159, Chinese product sales suffer 30% drop in the Brazilian state of Santa Catarina,FALSE
8160, Only 6% of the deaths that occur can be directly attributed to COVID. 94% can’t. According to the CDC,MISLEADING
8161, Local authority staff have been banned from entering a flats complex in Dublin due to an outbreak of COVID-19,FALSE
8162, COVID-19 is a depopulation program,FALSE
8163," The Covid-19 mortality is incredibly low, and the declaration of the pandemic is unsubstantiated.",FALSE
8164," Anthony Fauci, director of the National Institute of Allergies and Infectious Diseases of the United States, took “an unexpected turn” by recently declaring that asymptomatic people do not transmit covid -19.",FALSE
8165," In the USA, the CDC “discreetly” announced that only 6% of Covid deaths were indeed Covid deaths",FALSE
8166," A mixture of coconut water, lime, and salt can kill coronavirus",FALSE
8167, Before cobas tests we could not accurately distinguish between COVID-19 and influenza cases.,FALSE
8168, Mandatory mask is in contradiction with anti burqa law,FALSE
8169," CDC survey shows that only 6% of COVID-19 victims were killed by the coronavirus, says Brazilian journalist on video",FALSE
8170, Former brazilian president Dilma Rousseff said that the solution to return to school during the pandemic would be the rotation of teachers and students,FALSE
8171," “Every time there were marches, 15 days later the cases of coronavirus grew”",NO EVIDENCE
8172," A video where the doctor Chinda Brandolino and the doctor Leonardo González Bayona, from the group “Doctors for the Truth”, say several statements about the coronavirus",FALSE
8173, Belgian study proves hydroxychloroquine is effective against SARS-CoV-2.,
8174," The global death count of COVID-19 is much lower than other diseases including tuberculosis, hepatitis B, pneumonia, HIV/AIDS, malaria, and many others.",FALSE
8175, Allegedly 600-year epidemic advice is attibuted to Sabuncuzade Şerafettin,FALSE
8176, Doctor extracted kidney of a patient claiming the patient was coronavirus positive,FALSE
8177, A video puts forward measures to cure COVID-19.,MISLEADING
8178, Fenugreek Seed Tape Is COVID-19 Cure,FALSE
8179," The Oxford vaccine, funded by Bill Gates, is genetically modified and can alter human genes. A video featuring Bill Gates dubbed in Georgian was aired in a TV channel where Gates speaks about mandatory vaccinations of humans.",FALSE
8180," There is a “COVID-19 Project” that consists of several stages and aims to exercise full control over an individual. The first stage stage is vaccination. The second is a quantum tattoo, third – “digital identification label” linked to “ID 2020” project, and the fourth stage is going to be an implant, i.e., chip, which will exercise full control over human life.",FALSE
8181," Ivermectin caused the decline of COVID-19 in Cali, Colombia",PARTLY FALSE
8182, Epidemics and cases of disease in the 21st century are ” staged”,FALSE
8183," These products are anti-coronavirus vaccines forbidden in the US, Canada, and the EU",FALSE
8184, A Facebook post promotes a natural formula to eliminate coronavirus,FALSE
8185," Donald Trump calls on people not to wear masks, not to be slaves, and not to believe in the coronavirus.",FALSE
8186, people in Italy are burning 5G masts.,FALSE
8187, Millions of people protesting against coronavirus restrictions in the German capital of Berlin in August 2020.,FALSE
8188, A video of two planes flying over a beach showed a fumigation and in August 2020 linking it to the coronavirus pandemic.,FALSE
8189, Belgian study proves hydroxychloroquine is effective against SARS-CoV-2.,MISLEADING
8190, This video actually shows an anti-government protest in Belarus,FALSE
8191," France, Italy and the United Kingdom followed on Jair Bolsonaro’s steps and now recommend chloroquine as standard treatment for COVID-19",FALSE
8192, China and the FDA confirmed that chloroquine is 100% effective against COVID-19,FALSE
8193, COVID-19 means “Identification Certificate of Artificial Intelligence Vaccine”. It’s being used as a form of population control,FALSE
8194, Masks are useless,FALSE
8195, Photo of crowded Rio de Janeiro beach published by brazilian newspaper wasn’t recorded during the pandemic,FALSE
8196, Italian doctor claims on video that COVID-19 stands for “International Certificate of Vaccination with Artificial Intelligence”,FALSE
8197, Outdated guidance on masks circulates on Facebook in Manitoba,MISLEADING
8198," There is talk about a possible resumption of face-to-face classes in the school system, dictated by the Ministry of Health.",FALSE
8199, Fenugreek seed tape is a COVID-19 Cure,FALSE
8200, God has punished China in the form of floods after they spread coronavirus in the world,FALSE
8201, A doctor was arrested for giving false postive COVID-19 test results.,FALSE
8202, A video puts forward measures to cure COVID-19.,MISLEADING
8203, This photograph shows thousands of people protesting against COVID-19 restrictions in Seoul,FALSE
8204, Ireland’s deputy prime minister Leo Varadkar supports forced vaccinations for COVID-19,FALSE
8205," If you are COVID-19 positive and cannot go to the doctor, you can consume azithromycin and ivermectin at home",PARTLY FALSE
8206, The pictures show a parade of people who oppose constraints of coronavirus,FALSE
8207, Supermarket workers are not susceptible to coronavirus infection,FALSE
8208," A post with untrue data, insults and conspiracy theories, but also with a danger to public health, was placed, abusing a video clip from the protests in Berlin held last weekend.",FALSE
8209, The WHO says that they didn’t know that shutdowns could affect the economy.,FALSE
8210," A poem about the teachings that a covid-19 crisis could leave on human beings has been shared more than 75,000 times on social media since mid-May with the claim that it was written in the 19th century about an epidemic.",FALSE
8211, An aerial image supposedly showing the demonstrations that day in Berlin against the restriction measures implemented by the covid-19 pandemic.,FALSE
8212, Using the infrared thermometer on the forehead will not harm the glands in the head,FALSE
8213, The World Health Organisation in a video published to its official YouTube channel suggest using a mask only when we present symptoms for COVID-19.,MISLEADING
8214," The Plandemic 2 documentary revealed that SARS-CoV-1 was pattented by CDC for profit, the SARS-CoV-2 pandemic was predicted in Event 201, the HPV vaccine killed 7 girls and the OPV vaccine caused paralysis in children in India.",FALSE
8215, According to new guidelines from the WHO ths use of face mas by the general public is discouraged.,MISLEADING
8216, WHO apologizes for taking a stand against hydroxychloroquine,FALSE
8217, Former president Dilma Rousseff defended the idea of having students rotating in schools in order to reopen them,FALSE
8218, An Italian research prooved the efficacy of hydroxychloroquine for COVID-19,MISLEADING
8219, The creator of PCR tests said they do not detect the new coronavirus,FALSE
8220, Buenos Aires (CABA) is the city with the highest number of COVID-19 deaths per million inhabitants in the world,FALSE
8221," The Argentinian Secretary of Access to Health, Carla Vizzotti, suggested people should avoid “speaking loudly, singing or laughing”",MISLEADING
8222," Lojas Americanas, a retail company, is donating 62 million reais in products to victims of COVID-19",FALSE
8223," A picture published by O Estado de S. Paulo, that shows an agglomeration at Ipanema Beach allegedly on August 30, in Rio de Janeiro, was actually taken before the pandemic",FALSE
8224, A photo has been shared hundreds of times in multiple posts on Facebook which claim it shows millions of people protesting against coronavirus restrictions at a rally in Berlin in late August 2020.,FALSE
8225, God has punished China in the form of floods after they spread coronavirus in the world,FALSE
8226, Italian doctor Roberto Petrella says that “COVID-19 is a mass extermination program.”,FALSE
8227, COVID – 19 means Certificate of Vaccination Identification with Artificial Intelligence (and other claims by Roberto Petrella),FALSE
8228," You can protect yourself from getting the coronavirus by taking vitamins, and if you get it you can be treated with hydroxychloriquine and zinc",FALSE
8229," The coronavirus is nine times more virulent in Medellín, Colombia",FALSE
8230, The viral documentary “Plandemic 2” weaves conspiracy theory with Covid-19 in the lead role,PARTLY FALSE
8231," The WHO develops viruses and organizes pandemics, lockdowns, and crises.",FALSE
8232," In the US, the number of deaths caused by Covid-19 is lower than those caused by seasonal flu.",FALSE
8233," The pathologist from Germany Klaus Püschel claims that there is no killer-virus, all people who died of Covid-19 had comorbidities.",FALSE
8234," Ramin Imanov argues that face covering, social distancing, and quarantine is absurd. Moreover, he states that the Ukrainian Constitutional Court has ruled that the quarantine in the country is illegal. He also claims that wearing masks cause respiratory acidosis, that it is impossible to develop a vaccine because of the virus mutation.",FALSE
8235, Drinking boiled hikaw-hikaw plant (Heliotropium indicum L.) after doing steam inhalation therapy or tu-ob/su-ob will cure anyone of COVID-19.,FALSE
8236, A doctor from the “Spain Medical Doctors Association” said her organization was “amazed” at Philippine President Rodrigo Duterte’s COVID-19 response. Britain’s Princess Beatrice said she is “humbly praising” Duterte and that other world leaders could learn from him.,FALSE
8237," Get sunlight to boost one’s immune system, and take supplements such as Vitamin C, zinc, selenium and glutathione and a tonic called Scott’s Emulsion when one has COVID-19. Eat food with a pH level “higher than the virus” to beat COVID-19.",MISLEADING
8238," China did not demand a fee for the 2 million virus kits it sent, saying “Atatürk paid the fee”.",FALSE
8239, Only 6% of covid cases died of covid in the USA,FALSE
8240, A woman died because of police beating her at the protests in Berlin against the government’s Covid-19 measures,FALSE
8241, The pandemic will end only if we have a vaccine. So long insolvencies must be accepted,FALSE
8242, The U.S. CDC quietly updated their numbers in August to show that only 6% of all coronavirus deaths were completely due to the coronavirus alone,FALSE
8243, PCR tests show 50% false positives,FALSE
8244, Protests against quarantine restrictions again take place in Berlin.,MISLEADING
8245, Only 6 percent of Covid-19 patients in the US really died of Covid-19,FALSE
8246, Doctor operated and took out the kidney of a covid patient,FALSE
8247," Social media posts shared thousands of times and retweeted by President Donald Trump claim the U.S Centers for Disease Control and Prevention cut the national COVID-19 death toll by 94%, citing a CDC comorbidity chart.",FALSE
8248," The CDC updated the COVID-19 number to admit that only 6% of all the 153,504 deaths recorded actually died from COVID-19.",FALSE
8249, On August 29th four million people gathered in Berlin to protest the government’s Covid-19 measures,FALSE
8250," The broadcaster ZDF accidentally published an article about the Covid-19 protests in Berlin one day in advance, saying the protests were violent",PARTLY FALSE
8251, There is no reliable COVID-19 testing. PCR and ELISA methods of testing are far from being reliable.,FALSE
8252, The WHO apologised and started to recommend hydroxichloroquine against COVID-19.,FALSE
8253, God has been quarantined due to coronavirus season as shown in the viral photo.,FALSE
8254, A publication that mentions statements made by Raúl Rizzo (an Argentine actor) about Solange Musse’s death,FALSE
8255, The new coronavirus dies in seawater,
8256," A post that claims asymptomatic patients are immune and, therefore, do not infect others with COVID-19",FALSE
8257, Alkaline food can cure COVID-19,FALSE
8258, A list of recommendations on what to do if you catch COVID-19,MISLEADING
8259, Colombian doctor Manuel Elkin Patarroyo said that breast milk eliminates the new coronavirus.,FALSE
8260, President Iván Duque approved the creation of a Bitcoin platform for citizens to generate income during the pandemic.,FALSE
8261, Interferon Beta modified by Dr. Julio Klinger cures the new coronavirus.,PARTLY FALSE
8262, EU suspends visa procedures for Turkish citizens indefinitely due to epidemic,PARTLY FALSE
8263, A video shows tanks and military cars that are sent to Berlin because of the Covid-19 protests,FALSE
8264," Either masks work or they don’t; if masks work, then physical distancing and lockdowns are unnecessary.",FALSE
8265," Parents in Ireland will be given a consent form to allow schools to make medical decisions on behalf of their children, without the involvement of parents",FALSE
8266, A COVID-19 censor has been inserted secretly into every phone,FALSE
8267, Children in Ireland will be forbidden to attend school if they don’t get the flu vaccine,FALSE
8268," The COVID-19 death tolls in Ireland, England and Italy have been miscalculated and inflated",FALSE
8269, Cuban medicine and infusions mix cure COVID-19,FALSE
8270," In September 1918, when the ‘Spanish Flu’ quarantine ended, 200,000 people took to the streets to demonstrate against measures to stay at home longer. Four days later, all the beds in the 31 hospitals in that city were full and approximately 4,500 people died in the space of a few days",Partially true
8271, Vaccines are made from the human body.,FALSE
8272, The new coronavirus dies in seawater,NO EVIDENCE
8273, Students in Karnataka test positive after appearing for the COMEDK exam,FALSE
8274, Bill and Melinda Gates as well as Anthony Fauci were convicted by a military court for their participation in the pandemic hoax,FALSE
8275," Flávio Dino, governor of Maranhão, was filmed without a mask during his father’s funeral. There were dozens of people there. Meanwhile, poor people’s funerals in Maranhão are limited to 10 atendees.",FALSE
8276," Extra, a Brazilian supermarket chain, is distributing 15 million reais worth of products to vulnerable families during the pandemic.",FALSE
8277," A text says, amongst other things, that alcohol-based hand sanitizer hurt the skin and allow the SARS-Cov-2 to infect the wounds, and healthy living can build up immunity and help you avoid the disease.",PARTLY FALSE
8278," Shopping Unicenter (Argentina) is in crisis, as stated in a viral video",FALSE
8279, A post from the Russian virology center that advises consuming more alkaline foods to combat the coronavirus.,FALSE
8280, A chain message claims that cleaning employees and garbage collectors are asking that COVID-19 patients label their household waste with a red ribbon and spray it with disinfectant.,MISLEADING
8281, God has been quarantined due to coronavirus season as shown in the viral photo.,FALSE
8282, COVID-19 vaccines cause irreversible changes in the DNA,
8283," Maranhão state’s governor, Flávio Dino, caused aglomeration on the funeral of his father",FALSE
8284, Plasma therapy has been proven to reduce mortality by 35 percent,FALSE
8285," Authorities decided to introduce fines for those, who got infected with the novel coronavirus.",FALSE
8286," In Italy, the elderly had a regular virus, although their deaths were attributed to Covid-19",FALSE
8287," An open letter entitled ‘The current corona policy must be changed’, was published, in which criticism is levelled at the current corona policy in Belgium.",MISLEADING
8288, American biologists created a deadly coronavirus back in 2015.,MISLEADING
8289, TV host Kris Aquino was hospitalized and hinted to have tested positive for COVID-19.,FALSE
8290, Philippine senator Ramon “Bong” Revilla Jr. has passed away from COVID-19.,FALSE
8291, COVID-19 vaccines cause irreversible changes in the DNA,FALSE
8292, Children that are being found to be positive for COVID-19 will be forcibly moved to isolation wards.,FALSE
8293," A Facebook post claiming that the popstar Madonna already knew about COVID-19, because during a performance she showed the common visualization of the virus",MISLEADING
8294," A Facebook post claiming that the popstar Madonna already knew about COVID-19, because during a performance she showed the common visualization of the virus",MISLEADING
8295,//factuel.afp.com/virus-fabrique-vaccin-mortel-ces-affirmations-du-pr-montagnier-sont-inexactes,FALSE
8296," Breaking.. You can now benefit from the initiative launched by the World Health Organization, which is a specific financial amount of 500 euros, if you are one of those who suffer from difficult financial conditions due to Corona, register via the link.",FALSE
8297," Actress Letícia Spiller said, in social media, that Bolsonaro supporters deserve to die of COVID-19",FALSE
8298, A nurse was photographed in a deli wearing protective clothes meant only to be used while treating COVID-19 patients,FALSE
8299," A facebook post stating that COVID-19 diagnostic tests would somehow damage the brain, allowing microbes to penetrate in it. Because of this mechanism patients start developing Covid-19 symptoms after the test.",FALSE
8300, Food and Drugs Administration and China have said that chloroquine is 100% effective on treating COVID-19,MISLEADING
8301, Famous singer Sharda Sinha passes away due to coronavirus,FALSE
8302, Thyrocare Thane Lab Is Sealed Over False-Positive COVID19 Testing,FALSE
8303, Thyrocare Thane Lab Is Sealed Over False-Positive COVID19 Testing,FALSE
8304, A plant known as moringa kills the new coronavirus,FALSE
8305, COVID-19’s pandemic is fake.,FALSE
8306, Colombia was featured in The New York Times for the poverty that President Iván Duque has brought to the country during the COVID-19 pandemic.,PARTLY FALSE
8307," The RT-PCR test for the virus that causes COVID-19 detects human DNA on chromosome 8, therefore all tests will give a positive result",FALSE
8308," From a scientific point of view, PCR tests on COVID-19 are pointless – Torsten Engelbrecht and Konstantin Demeter",FALSE
8309, A Facebook post openly advocates against wearing protective masks,FALSE
8310," A doctor claims on national TV that in residential care centers, the virus is not spread through the visitors, but through the staff.",NO EVIDENCE
8311, Pandemic and related restrictions should be canceled since Covid-19 is not a special disease.,FALSE
8312, A viral post alleging to be summary of coronavirus information from Johns Hopkins’ Dr. Irene Ken included 18 bullet points to avoid COVID-19 contagion.,FALSE
8313," Gargling with a salt water concoction, or drinking water with salt or vinegar, will “kill” the virus causing COVID-19.",FALSE
8314," According to Roberto Petrella, the COVID-19 pandemic is a conspiracy designed to reduce the global population and this plan was set in motion in 2020. Vaccination against SARS-CoV-2 will lead to a global population reduction of up to 80%. It also has been proven that vaccines we have already received can re-activate the virus.",FALSE
8315, The pandemic is a hoax and SARS-CoV-2 was made in a lab.,FALSE
8316, There were more deaths on the roads of France in July than death from COVID-19,FALSE
8317, British neuroscientist Karl Friston published a study proving 80% of the population is immune to COVID-19. He also said lockdown is useless and based on faulty science,FALSE
8318," A picture showing a lot of people (allegedly migrants) gathered in Lampedusa (Sicily), during the COVID-19 pandemic",MISLEADING
8319," A week after entering school, 100 schools announce infection with coronavirus.",MISLEADING
8320, The Governor of Maine has ordered restaurant staff to wear dog cone-style face visors as a precautionary measure against COVID-19.,FALSE
8321," In Nagpur’s Medical Hospital, the kidney of the patient was removed and the excuse was made that the patient had corona.",FALSE
8322, Government of the Brazilian state of Bahia directs schools to bury food sent by the federal government during the pandemic to blame president Jair Bolsonaro,FALSE
8323, A Facebook post says that gargling warm water and salt removes COVID-19,FALSE
8324, COVID-19 tests are not reliable.,FALSE
8325," You can prevent COVID-19 by avoiding cold drinks, night baths, soda and sweets.",FALSE
8326, Photo of seagull carrying surgical mask in its mouth was taken in Van.,FALSE
8327, Bill Gates is building the global concentration camp.,NO EVIDENCE
8328, The PCR-tests do not detect the novel coronavirus. Wearing masks and social distancing are of no use.,FALSE
8329," The dismissal of Nassaf Ben Alia, director of the Observatory of New and Novel Diseases in Tunisia, from her post.",FALSE
8330," China’s deal to buy vaccines from AstraZeneca means Sinovac vaccines, sold to Brazil, are useless.",MISLEADING
8331, The greatest trick the U.S. CDC ever pulled was convincing the world you can be sick without having symptoms.,FALSE
8332," The new coronavirus is under control in Cali, Colombia.",FALSE
8333," Coronavirus vaccine costs 8,500 colombian pesos during the first months.",PARTLY FALSE
8334, Turkish citizens are used as guinea pigs for vaccination studies,FALSE
8335, The WHO confirms COVID-19 has ended in Japan and praises PM Abe’s handling.,MISLEADING
8336, Indian government is asking people to not wear masks,MISLEADING
8337, Thomas Cowan claims that epidemics occur due to electromagnetic radiation.,NO EVIDENCE
8338, Russian President Vladimir Putin’s daughter died after receiving second dose of the Covid-19 Sputnik V vaccine,FALSE
8339," The survival rate of COVID-19 is close to 100% without a vaccine, so what exactly will the purpose of the new vaccine be?",MISLEADING
8340, The PCR-tests are not meant to detect viruses. The quote is attributed to the inventor of the Polymerase Chain Reaction (PCR) test.,FALSE
8341, The protests against the lockdown measures take place in South Korea.,FALSE
8342, Wearing a facemask disrupts pH levels and increases the risk of getting cancer,FALSE
8343, Face covering destroys will. That is why Muslim women were forced to cover their faces.,NO EVIDENCE
8344, Vladimir Putin’s daughter died after receiving the Sputnik vaccine shot,FALSE
8345, This is a recent picture where hospitals show dogs inside the ward,FALSE
8346, Alkaline food can cure the COVID-19,FALSE
8347, The World Bank states that the lockdownquarantine measures will last until 2025.,FALSE
8348, “There is no killer virus.”,False
8349, The Government “stole” 50 respirators of those 250 offered to Bolivia as a donation by the Trump administration.,FALSE
8350," According to bio-medical scientist Panagiotis Skarlatos, mask use can cause serious health problems with a prominent example being severe oxygen deprevation.",FALSE
8351," According to WHO guidelines, only children aged 12 and older should use a face mask.",MISLEADING
8352, A post that ensures that chlorine dioxide is used for “blood disinfection” and that since 1994 “it is mandatory in every bag of blood in the world”,FALSE
8353," Images of the assistance operation in Cushamen (Chubut, Argentina) where bags of food are seen in the snow",MISLEADING
8354, Legionnaires’ disease can be contracted from a face mask,FALSE
8355, Schools are distributing free laptops and tablets to the students amid coronavirus pandemic,FALSE
8356, Taking vinegar with raw garlic cures Covid-19,FALSE
8357," Brazilian actress Camila Pitanga announced that her malaria test was incorrect and that, in fact, she was diagnosed with Covid-19",FALSE
8358," In two weeks, 97,000 students in India were infected with COVID-19 after which the Education Ministry decided that schools and colleges will open in 2021 only.",FALSE
8359, mRNA vaccine against COVID-19 could cause “irreversible genetic damage”,FALSE
8360, A video says that COVID-19 is transmitted by breathing outside air for 5 seconds,FALSE
8361, A plant known as matarraron kills the new coronavirus,FALSE
8362, Washing your mouth with salt alkalizes the body and prevents the new coronavirus.,FALSE
8363," SARS-CoV-2 vibrates in 5,5 hz frequency and dies above 25,5 hz",FALSE
8364," WHO does not employ doctors, and the best way to overcome COVID-19 is natural immunity.",FALSE
8365, U.S.A. public health authorities have labeled the SARS-CoV-2 virus as “common cold” in their official website.,FALSE
8366," The statements of the immunologist Roxana Bruno, a member of the group “Argentine Epidemiologists”",FALSE
8367, Study proved efficacy of ivermectin on treatment of COVID-19; the medecin is given by government to treat people in Australia and Ethiopia,FALSE
8368," Everyone who dies while infected with the SARS-Cov-2 is registered in official documents as “dead by COVID-19”, even if the death is unrelated (e.g. a car accident)",FALSE
8369," The WHO, CDC and the Surgeon General of the US do not recommend the use of masks by regular people. In Europe, mask use is not mandatory anymore",FALSE
8370, An article claims that the Tanzanian government has kicked the World Health Organization (WHO) out of the country.,FALSE
8371, Misleading claims about COVID-19 vaccine spread by ‘Plandemic’ video,FALSE
8372, Photos show Joe Biden and Kamala Harris just attended a rally without wearing face masks or socially distancing.,FALSE
8373," The usefulness of masks that have a valve, among the huge catalog of masks that are now on the market. Valve masks also prevent the spread of COVID-19.",MISLEADING
8374, Remdesivir can cure COVID-19,FALSE
8375, Stethoscopes send out 5G waves which can stop the heart.,FALSE
8376, There are frauds on the death toll related to COVID-19,FALSE
8377, 800 people died after consuming disinfectant to protect from COVID-19,FALSE
8378, Turkey was producing 40 types of vaccines in the 1940s; can no longer produce any.,PARTLY FALSE
8379," Magnesium, B12 and D vitamins prevent severe COVID-19 cases",FALSE
8380, The Office of the President of Ukraine announced the toughening of the COVID-19 response measures starting from August 24.,MISLEADING
8381, SARS-CoV-2 is artificial. One cannot be sure what will be there in the COVID-19 vaccine. The pandemic is a distraction for the population reduction.,NO EVIDENCE
8382, German doctors get paid extra if they note Covid-19 as the cause of death on the death certificate,FALSE
8383, COVID-19 poses no threat to people (and other claims from a Roberto Petrella’s viral video),FALSE
8384," The text in the post refers to two suggestions to the readers. One is that there is an international conspiracy, carried out by world institutions such as the World Health Organization (WHO), the International Monetary Fund (IMF) and others, to implement the “Italian Corona Scenario” without a clearly stated purpose. The second suggestion is that if anyone does not cooperate with these organizations, they will do the same thay did to Belarussian President Alexander Lukashenko – wreak havoc in the country in order to overthrow them.",FALSE
8385, There are mass rallies against the pseudo pandemic taking place all over the world.,MISLEADING
8386, Protest rallies held in June and July contributed to the upsurge of COVID-19 cases in the Philippines.,NO EVIDENCE
8387," The second daughter of Russian President Vladimir Putin died after getting a second dose of Sputnik V, Russia’s COVID-19 vaccine.",FALSE
8388," Nobel laureate Kary Mullis, the inventor of PCR, stated that the test is not suitable to diagnose viral or other communicable diseases.",MISLEADING
8389, Physicians knew since 2005 that chloroquine cures COVID-19,FALSE
8390, A video that shows combis and buses of people who ate a barbecue in Quinta de Olivos (the residence of the Argentine president),FALSE
8391, The kidney of the deceased taken out in Nagpur hospital by claiming the patient had the new coronavirus,FALSE
8392, Research from the University of São Paulo proves that people in social isolation are more vulnerable to COVID-19,FALSE
8393," 11 out of 100 inhabitants are infected by the new coronavirus in Ibagué, Tolima (Colombia).",FALSE
8394, RNA vaccines alter DNA and their applications cause alterations in DNA.,FALSE
8395, Colombia bought 16 million doses of the new coronavirus vaccine from the pharmaceutical company Pfizer,FALSE
8396, Matarratón tree cures COVID-19,FALSE
8397, Senator Ramon “Bong” Revilla Jr died due to COVID-19.,FALSE
