,statement,source,t/f status
11672,"""#GradInsurance debacle is a DIRECT result of #ObamaCare. #MIZZOU has to break the law to do the right thing.""",Caleb Rowden,half-true
11673,"A ""voucher school that closed after 9 days this year collected $5.4 million in taxpayer subsidies since first opening.""",Jennifer Shilling,mostly-true
11674,"Says Ronald Reagan ""reversed his world’s ‘largest tax cut’ and raised taxes when revenues did not match the expectations.""",Stephen Colbert,mostly-true
11675,"""When (Ronald) Reagan came in, from 1978 to 1982, economic growth averaged less than 1 percent a year. There’s only one other four-year period where that’s true. That’s true from 2008 to 2012.""",Ted Cruz,barely-true
11676,"Salaries of Austin residents who don't work for city government ""have not been going up 3 percent a year for the last several years.""",Don Zimmerman,mostly-true
11677,Tens of thousands of Atlanta households pay more than 30 percent of their income towards rent.,Matthew Charles Cardinale,true
11678,"""The pope and Donald Trump and Tammy Baldwin all agree"" on eliminating the ""carried-interest"" tax break.",Tammy Baldwin,half-true
11679,"Missouri is ""#1 in the nation for holding down tuition increases at public universities.""",Jay Nixon,mostly-true
11680,"""Daraprim is still underpriced, relative to its peers.""",Martin Shkreli,false
11681,"""The birther movement was started by Hillary Clinton in 2008. She was all in!""",Donald Trump,false
11682,"Says ""the cascading effects"" of climate change contributed to the rise of ISIS.",Martin O'Malley,mostly-true
11683,"There are a ""multitude"" of vaccines that do not prevent deadly and crippling diseases.",Ben Carson,false
11684,"Says Pope Francis ""took the name of a saint who basically reached out to Muslims.""",Matthew Dowd,mostly-true
11685,"""Under Republicans, recessions happen four times as frequently as under Democrats.""",Hillary Clinton,mostly-true
11686,"""Just about half of rural hospitals operate in the red in Virginia. They operate at a loss.""",Mary Mannix,true
11687,"""Eighty-three law enforcement officers have died in the line of duty this year. Twenty-four of them were shot and killed in cold blood.""",Casey Cagle,true
11688,"Says Bernie Sanders opposes ""requiring all children to have a K-12 education.""",Viral image,false
11689,"When Carly Fiorina says Hewlett-Packard ""revenues went up, that's because she bought Compaq. It was a terrible deal.""",Donald Trump,mostly-true
11690,"Says Donald Trump was ""forced to file for bankruptcy not once, not twice, four times.""",Carly Fiorina,mostly-true
11691,"The Obama administration’s ""own Environmental Protection Agency"" has said its Clean Power Plan ""will have a marginal impact on climate change.""",Scott Walker,half-true
11692,"""The top 1/10th of 1 percent today in America owns almost as much wealth as the bottom 90 percent.""",Bernie Sanders,mostly-true
11693,"""We had a three-hour debate, no discussion about the national debt, very little about the economy.""",Marco Rubio,mostly-true
11694,"At this point in 2012, ""Rick Perry was ahead at 29.9 percent, and we had seven more leads before it finally settled on Mitt Romney.""",Karl Rove,mostly-true
11695,"""The cost of fire in Rhode Island is anywhere from 33 percent to 100 percent more expensive than anywhere else we could find.""",Kenneth Block,half-true
11696,"The University of Wisconsin System  ""is larger than any business in the state of Wisconsin.""",Dale Kooyenga,mostly-true
11697,"""There's never been a direct Supreme Court case on people who were here illegally, whether or not their kids are citizens.""",Rand Paul,mostly-true
11698,"""You know our current president is (Muslim). You know he's not even an American.""",Town hall audience member,pants-fire
11699,"Says that President Barack Obama said an attack on Syria ""was going to be a pinprick.""",Marco Rubio,false
11700,"The Iran deal ""trusts the Iranians to inspect themselves.""",Ted Cruz,false
11701,"The government ""made accommodation to the Fort Hood shooter to let him grow a beard"" for religious reasons.",Mike Huckabee,barely-true
11702,"Pediatricians have cut down on the number and proximity of vaccines because they recognize there have been ""too many in too short a period of time.""",Ben Carson,pants-fire
11703,"""We're the only major oil-producing nation in the world with a self-imposed ban on exporting our crude oil to other nations.""",Barry DuVal,mostly-true
11704,"One of the Planned Parenthood videos shows ""a fully formed fetus on the table, its heart beating, its legs kicking, while someone says, 'We have to keep it alive to harvest its brain.' """,Carly Fiorina,barely-true
11705,"Says he will pursue change in federal law to protect employees from ""extortion from a union"" because ""the Supreme Court has ruled that federal prohibitions outlawing extortion usually do not apply to unions.""",Scott Walker,barely-true
11706,"Says Marco Rubio has ""the worst voting record there is today.""",Donald Trump,mostly-true
11707,"Says Mexico doesn't have birthright citizenship, and Americans are the ""only ones"" to have it.",Donald Trump,false
11708,"""The marijuana that kids are smoking today is not the same as the marijuana that Jeb Bush smoked 40 years ago.""",Carly Fiorina,true
11709,"""We've just now given over $100 billion"" to Iran, ""the equivalent in U.S. terms is $5 trillion.""",Mike Huckabee,half-true
11710,"""A majority of the men and women on this stage have previously and publicly embraced amnesty. I am the only candidate on this stage who has never supported amnesty.""",Ted Cruz,mostly-true
11711,"""When he (Donald Trump) asked Florida to have casino gambling, we said no.""",Jeb Bush,mostly-true
11712,Says Wisconsin Gov. Scott Walker turned a $1 billion surplus into a $2.2 billion budget deficit.,Donald Trump,barely-true
11713,"Says history suggests sports will ""quickly subsume a lot of the attention span of the country"" in the presidential primary.",Hugh Hewitt,half-true
11714,Annexation would lead to overcrowding at Decatur’s city schools.,Internet commenters,false
11715,"""Jeb's policies in Florida helped lead to its almost total collapse.""",Donald Trump,barely-true
11716,Says Donald Trump supports the Wall Street bailout.,Club for Growth,mostly-true
11717,"Says Donald Trump’s polling numbers show that he’s ""the highest with Hispanics that any Republican has ever been.""",Michele Bachmann,false
11718,"Georgia’s CRCT ""set some of the lowest expectations for student proficiency in the nation.""",Richard Woods,true
11719,Says the case of a Texas judge who refused to perform heterosexual weddings exposes a double standard in the case against Kentucky clerk Kim Davis.,Viral image,false
11720,"""Inspections of abortion centers around Virginia have found multiple violations of parental consent laws … but Gov. Terry McAuliffe and his administration have done nothing.""",Victoria Cobb,barely-true
11721,"""The top man at Yale Law School came out ... with just a raging report"" about former HP CEO Carly Fiorina, saying she is ""one of the worst executives in his memory in history running the company.""",Donald Trump,mostly-true
11722,"""I'm the only governor in America ... who signed a law that says there needs to be an independent investigation any time there's a death of someone in police custody.""",Scott Walker,true
11723,"""After Texas defunded Planned Parenthood, both the unintended pregnancy and abortion rates dropped.""",Greg Abbott,barely-true
11724,"""She [Hillary Clinton] has also said unequivocally that she didn't receive classified documents.""",David Cicilline,half-true
11725,As many as six federal department budget bills have been delayed because of opposition to amendments that would ban Confederate battle flag sales at federal building gift shops.,Lloyd Doggett,mostly-true
11726,"When it comes to classified information at the State Department, Hillary Clinton’s ""the decider.""",Juan Williams,half-true
11727,"Says Donald Trump ""wants to replace"" Obamacare ""with a single-payer system.""",Reid Ribble,half-true
11728,Atlanta has issued an increasing number of citations - and collected an increasing amount of revenue - since Mayor Kasim Reed took office in 2010.,Reader,mostly-true
11729,"""The Iran Deal will facilitate and accelerate the nation of Iran acquiring nuclear weapons.""",Ted Cruz,false
11730,"""Florida led the nation in job creation"" while Bush was governor.",Jeb Bush,half-true
11731,"""Any Republican that has led for two months and led every state has won the GOP nomination.""",Matthew Dowd,half-true
11732,"Says Scott Walker said ""Labor unions don’t deserve to have a national holiday"" due to their damage to the economy. And the holiday ""should be replaced by Patriots Day, celebrated every year on 9/11.""",Facebook posts,pants-fire
11733,"""Unions did not create"" the eight-hour work day and the 40-hour work week. ""Henry Ford did.""",Viral image,barely-true
11734,"Says Scott Walker rejected legislation to make college loan payments tax deductible and the result was ""to raise taxes on students.""",Hillary Clinton,false
11735,"""I cut state spending more than anybody (in the 2016 GOP field).""",Jeb Bush,half-true
11736,"""Contrary to media reports, Georgia’s gas tax change led to no price increase at the pump.""",E. Frank Stephenson,half-true
11737,"""There has never been a panther attack in the history of Florida.""",Ron Bergeron,mostly-true
11738,"""Almost 40 percent of all (undocumented) immigrants come by plane and they overstay their visas.""",Jorge Ramos,half-true
11739,"""The State of Texas is funding … women’s health services at historically high levels; they just increased their level another $50 million for the next two years.""",Joe Pojman,true
11740,"Under the Iran deal: ""If Israel attacks Iran … we’re supposed to be on Iran’s side.""",Donald Trump,false
11741,"""Twenty-three million Americans suffer from addiction, but only 1 in 10 get treatment.""",Hillary Clinton,mostly-true
11742,"""It has been the law since the beginning of the country that the children of American citizens born ... abroad are American citizens by birth.""",Ted Cruz,mostly-true
11743,""" 'Denali' is the Kenyan word for 'black power.' """,Viral image,pants-fire
11744,"Under the Nuclear Nonproliferation Treaty ""enrichment has been limited to basically the weapons states.""",Dick Cheney,false
11745,"The nuclear agreement with Iran ""never sunsets. There's no sunset in this agreement.""",John Kerry,half-true
11746,"""Jesus was an undocumented immigrant.""",Ryan Eller,false
11747,"""Trump proposed enacting the largest tax increase in American history.""",Jeb Bush,true
11748,"The claim that 97 percent of scientists believe humans are causing climate change has been debunked by the ""head"" of the United Nations Intergovernmental Panel on Climate Change. ""That number was pulled out of thin air.""",Rick Santorum,false
11749,"Bernie Sanders opposes the death penalty, and Hillary Clinton supports it.",Viral image,mostly-true
11750,"Bernie Sanders opposes the Trans-Pacific Partnership, and Hillary Clinton supports it.",Viral image,mostly-true
11751,"Says he ""turned down a Medicaid expansion under Obamacare,"" but because of actions he took, for the first time in Wisconsin's history ""everyone living in poverty is covered under Medicaid.""",Scott Walker,mostly-true
11752,"Georgia has the 9th highest rate of adults, ages 18 to 64, without a high school diploma or GED.",Melissa Johnson,true
11753,"Democratic Sens. Ed Markey, Al Franken and Jeanne Shaheen ""took Bribes From Iran … They Back Insane NUKE Deal.""",Bloggers,pants-fire
11754,"""The most recent survey of climate scientists said about 57 percent don’t agree with the idea that 95 percent of the change in the climate is caused by CO2.""",Rick Santorum,false
11755,"""In countries where there are higher, more strict gun laws, there is more gun violence.""",Eric Bolling,false
11756,"The Obama administration is ""proposing to mine another 10 billion tons of Wyoming coal, which would unleash three times more carbon pollution than Obama's Clean Power Plan would even save through 2030.""",Credo Action,barely-true
11757,"Says Scott Walker ""brags a lot about having an independent agency investigate police shootings. Of course, he didn’t fund it.""",Gwen Moore,barely-true
11758,"""Of the 25 wealthiest nations, we're the only one that doesn't provide basic health coverage.""",Dan Gecker,true
11759,"""We have 93 million people out of work. They look for jobs, they give up, and all of a sudden, statistically, they're considered employed.""",Donald Trump,false
11760,"""I released all my emails.""",Jeb Bush,barely-true
11761,"""I was one of the few, very few, who voted `no’ on the Iran deal.""",Dave Brat,false
11762,"Says Russ Feingold cast the ""deciding vote"" for the ""largest tax increase"" in history",National Republican Senatorial Committee,barely-true
11763,"""I'm the only (Republican) candidate that has actually reduced the size of government.""",Bobby Jindal,half-true
11764,"""Saudi Arabia has the third-largest military budget in the entire world.""",Bernie Sanders,true
11765,"""African Americans are twice as likely to be arrested and almost four times as likely to experience the use of force during encounters with the police.""",Bernie Sanders,mostly-true
11766,"""We’re the most highly taxed nation in the world.""",Donald Trump,false
11767,"""How do Jeb Bush and Donald Trump differ on immigration? Spoiler alert: They don't.""",Hillary Clinton,barely-true
11768,"""In 1940, only 7 percent of Germans were Nazis.""",Curt Schilling,barely-true
11769,"""In the year 2013, the Obama administration released 104,000 criminal illegal aliens. They released 196 murderers – people with homicide convictions, who are here illegally.""",Ted Cruz,half-true
11770,"""By the end of this budget I'm in right now, taxes will have been cut $4.7 billion in my state.""",Scott Walker,true
11771,"Gov. Maggie Hassan’s budget proposal ""raises taxes on small businesses and increases taxes and fees by $100 million.""",Americans for Prosperity,mostly-true
11772,"""More Americans have died from guns in the United States since 1968 than on battlefields of all the wars in American history.""",Nicholas Kristof,true
11773,"""Our companies are moving into Mexico more than almost any other place right now.""",Donald Trump,half-true
11774,"Says ""Bush Jr. handed Obama a $1.4 trillion deficit"" and Obama ""reduced Bush Jr.’s deficit to just $492 billion.""",Occupy Democrats,half-true
11775,"Says Ron Johnson ""opposes entirely a federal minimum wage,"" except perhaps for ""guest workers.""",Russ Feingold,true
11776,Buying the naming rights to the new Falcons stadium is the largest marketing deal in Mercedes-Benz history.,Steve Cannon,mostly-true
11777,"""To vote in Mexico every eligible Mexican citizen has to have a tamper-proof photo-ID card with a thumbprint and an embossed hologram.""",Sid Miller,true
11778,"Planned Parenthood is ""not actually doing women’s health issues.""",Jeb Bush,pants-fire
11779,"""Not one of the 17 GOP candidates has discussed how they'd address the rising cost of college.""",Hillary Clinton,false
11780,"""The federal government right now does not deport criminals.""",Jeb Bush,false
11781,"Says Scott Walker's plan to replace Obamacare ""is a new entitlement"" program for ""every single American human being from the time they are born right up until they grow old and become eligible for Medicare.""",Bobby Jindal,half-true
11782,"""Many of the great scholars say that anchor babies are not covered"" by the 14th Amendment.",Donald Trump,half-true
11783,"Says Bobby Jindal’s parents ""used his birthright citizenship to become Americans, making him an anchor baby.""",Occupy Democrats,pants-fire
11784,"""The policy mistakes that ... the Clintons made got us, in large degree, to the situation that we are in today with mass incarceration.""",Julius Jones,half-true
11785,"""Last year, we had zero percent growth in GDP in Virginia ...The only states that did worse than us were Alaska and Mississippi.""",Glen Sturtevant,true
11786,"Says Donald Trump ""was a Democrat longer in the last decade than he was a Republican.""",Jeb Bush,half-true
11787,"Under Scott Walker, ""the Wisconsin middle class is shrinking at a faster rate than any other state in the country.""",Rachel Maddow,false
11788,"""We did not even have a federal income tax in this country until 1913.""",Jim Webb,half-true
11789,"Says ""there’s 400,000"" anchor babies born in the United States a year, which are ""individuals coming to our country and having their children so their children can be U.S. citizens.""",Corey Lewandowski,barely-true
11790,"""There are actually only 30 countries that practice birthright citizenship.""",S.E. Cupp,true
11791,"Says ""56 percent of (the U.S.-Mexico) border is not under our control.""",Ben Carson,half-true
11792,"""Rhode Island will become just the second state to mandate the vaccine … and the only state to do so by regulatory fiat, without public debate, and without consideration from the elected representatives of the people.""",Rhode Island Center for Freedom and Prosperity,half-true
11793,"""The United States is about 100th in voter turnout among the industrialized nations, and Texas is near the bottom in terms of voter registration and voter turnout.""",Bruce Elfant,mostly-true
11794,"""The rate in which people are working (in Wisconsin) is almost five points higher than it is nationally.""",Scott Walker,mostly-true
11795,"""Zero Planned Parenthood facilities are licensed to do mammograms. Planned Parenthood, women don’t need you!""",Alliance Defending Freedom,half-true
11796,"""Less than half of the poorest American households have a home Internet subscription.""",Julián Castro,true
11797,"""If I had not asked for my emails all to be made public, none of this would have been in the public arena.""",Hillary Clinton,barely-true
11798,"""We have an Army that just cut 40,000 spots.""",Marco Rubio,mostly-true
11799,"Says Michele Bachmann said, ""The Chinese built a Great Wall 5,000 years ago. You don't see any illegal Mexicans in China.""",Facebook posts,pants-fire
11800,"""The U.S. has now spent more on reconstructing Afghanistan than was spent on the Marshall Plan and the reconstruction of Europe.""",Matt Wuerker,mostly-true
11801,"""There's not a single, solitary example that"" signing the bill to end Glass-Steagall ""had anything to do with the financial crash.""",Bill Clinton,mostly-true
11802,"A ""majority in every state favors path to citizenship for undocumented immigrants.""",Democratic Party of Wisconsin,mostly-true
11803,"""Peachtree and Pine is one of the leading sites for tuberculosis in the nation.""",Kasim Reed,mostly-true
11804,"Says Patrick Murphy ""hasn't passed a single bill out of committee.""",Alan Grayson,false
11805,"""There’s a tremendous other number of public officials who have done the same thing"" as Hillary Clinton with a private email server.",Howard Dean,barely-true
11806,"""The annual cost of free tax credits alone paid to illegal immigrants quadrupled to $4.2 billion in 2011.""",Donald Trump,half-true
11807,"""You’re more likely to get struck by lightning in Texas"" than find in-person voter fraud.",Cory Booker,true
11808,"Between 2008 and 2014, ""criminal aliens accounted for 38 percent of all murder convictions in the five states of California, Texas, Arizona, Florida and New York.""",Tom Tancredo,false
11809,"Says 57 percent of federal spending goes to the military and just 1 percent goes to food and agriculture, including food stamps.",Facebook posts,false
11810,"On unemployment rates: ""We have counties in Southwest Virginia that are well into double digits and some that are pushing 20 percent.""",Israel O'Quinn,false
11811,"The number of people who ""believe in socialism ... is increasing.""",Ben Carson,half-true
11812,"Says ""if the (Iran nuclear) deal gets rejected, they still get"" $150 billion.",Donald Trump,half-true
11813,"""We spend almost twice as much per capita on health care as do the people of any other country.""",Bernie Sanders,false
11814,"""F: The grade given to Florida for college affordability under Jeb Bush's leadership.""",Hillary Clinton,half-true
11815,"There has been a 100 percent ""increase in student debt under this Democratic White House.""",Jeb Bush,half-true
11816,"Wisconsin's pension system is the ""only one fully funded in the country.""",Scott Walker,mostly-true
11817,"""A minor cannot get a tattoo without parental consent but can get an abortion without parental consent.""",Marco Rubio,half-true
11818,"""One of the reasons that Social Security is in so much trouble is that the only funding stream comes from people who get a wage. The people who get wages is declining dramatically.""",Mike Huckabee,barely-true
11819,"""Over 40 percent of small and mid-size banks that loan money to small businesses have been wiped out since Dodd-Frank has passed.""",Marco Rubio,barely-true
11820,"Says Marco Rubio’s ""proposed college affordability overhaul would specifically benefit for-profit colleges.""",American Bridge 21st Century,barely-true
11821,"Says Bernie Sanders chose ""to spend his honeymoon in the Soviet Union in 1988.""",George Will,mostly-true
11822,There is debate among constitutional scholars about whether the First Amendment will continue to protect faith leaders from being forced to perform marriages against their religious beliefs.,David Ralston,barely-true
11823,"Emails released to the public show Hillary Clinton discussed ""the location of Ambassador Stevens, who of course was murdered, in Libya.""",Andrew Napolitano,half-true
11824,"Says Donald Trump has ""changed his mind"" on abortion.",Carly Fiorina,true
11825,"""Every poll said I won the debate.""",Donald Trump,half-true
11826,"""African-American children are 500 percent more likely to die from asthma than white kids.""",Hillary Clinton,true
11827,"Scott Walker ""had a 2.3 GPA when he was asked to leave Marquette University for cheating.""",Facebook posts,false
11828,"""Prior to 1962, everybody prayed before school started,"" and ""the Bible was the principal textbook in all schools.""",Rafael Cruz,barely-true
11829,"""If you look at the results of Obamacare, what you see is emergency room visits are up over 50 percent.""",Carly Fiorina,barely-true
11830,"""Some of the things that (Megyn Kelly) said, I didn’t say.""",Donald Trump,false
11831,"Says Jill McCabe ""supports late term abortions. Larger baby parts are more profitable.""",Dick Black,pants-fire
11832,"""The United States has the highest incarceration rate in the world.""",Jim Webb,mostly-true
11833,"Says he was ""one of the chief architects"" of balancing the federal budget.",John Kasich,mostly-true
11834,"""The Republican presidential nominee hasn’t won women since 1988.""",Heather McGhee,true
11835,"""I was appointed U.S. attorney by President Bush on Sept. 10, 2001.""",Chris Christie,barely-true
11836,"""Ukraine was a nuclear-armed state. They gave away their nuclear arms with the understanding that we would protect them.""",Ben Carson,false
11837,"""A majority of the candidates on this stage have supported amnesty ... I have never supported amnesty.""",Ted Cruz,mostly-true
11838,"""The Fourth Amendment was what we fought the Revolution over. John Adams said it was the spark that led to our war for independence.""",Rand Paul,mostly-true
11839,"""As governor of Florida I defunded Planned Parenthood.""",Jeb Bush,true
11840,"On allowing abortion in cases of rape or incest, ""I have never said that or advocated that.""",Marco Rubio,barely-true
11841,"""In FY 2014 Planned Parenthood performed 327,653 abortions while receiving $528 million from taxpayers, in violation"" of ""the Hyde amendment.""",John Cornyn,barely-true
11842,"Wisconsin’s ""rainy day fund"" is ""165 times bigger than when we first took office.""",Scott Walker,true
11843,"Says Scott Walker's defunding of Planned Parenthood ""left women across the state stranded with nowhere else to turn"" for cancer screenings, breast exams and birth control.",Hillary Clinton,half-true
11844,"Says Hillary Clinton has ""been in office and in government longer than anybody else running here tonight.""",Marco Rubio,barely-true
11845,"Says that Donald Trump ""supported Charlie Crist.""",Marco Rubio,mostly-true
11846,"""$700 billion was robbed (from Medicare) to pay for Obamacare.""",Mike Huckabee,half-true
11847,"Illegal immigration ""wasn’t a subject that was on anybody’s mind until I brought it up at my announcement.""",Donald Trump,false
11848,Film and television productions generated a $6 billion economic impact for Georgia’s economy in the most recent fiscal year.,Georgia Department of Economic Development,half-true
11849,"""I took the state of Ohio from an $8 billion hole … to a $2 billion surplus.""",John Kasich,mostly-true
11850,"""This is the most generous country in the world when it comes to immigration. There are a million people a year who legally immigrate to the United States.""",Marco Rubio,mostly-true
11851,"""The Mexican government ... they send the bad ones over.""",Donald Trump,pants-fire
11852,"""Fox changed around their poll eligibility criteria on the day they announced who is in and out of their debate.""",Rachel Maddow,half-true
11853,"Says Jeb Bush ""significantly cut early voting prior to the 2008 presidential election.""",Arthenia Joyner,mostly-true
11854,"""Since I took office, Wisconsin now has the 2nd highest health care quality ranking in the country.""",Scott Walker,half-true
11855,"""The stock market does better when you have a Democratic president in the White House.""",Hillary Clinton,mostly-true
11856,"The Navy ""is bringing charges against"" a Navy officer who shot at the Chattanooga shooter ""for illegally discharging a firearm on federal property.""",Allen West,false
11857,"""Almost 95 percent of all (Planned Parenthood) pregnancy services were abortions.""",Sandra Smith,false
11858,"Austin is ""effectively"" imposing ""a ban on barbecue restaurants.""",Rush Limbaugh,pants-fire
11859,Caution: Kissing and cuddling chickens can be hazardous to your health.,Centers for Disease Control,true
11860,On the Cuba embargo.,Hillary Clinton,full-flop
11861,"Say President George W. Bush "" ‘borrowed’ $1.37 trillion of Social Security surplus revenue to pay for his tax cuts for the rich and his war in Iraq and never paid it back.""",Facebook posts,barely-true
11862,"""In 1947, when I was born, there were about 450,000 lions. In the mid-70s, when my kids were born, there were about 100,000. Today, there are less than 30,000.""",Jack Hanna,mostly-true
11863,"Since parole abolition, Virginia's ""crime rate has fallen to third lowest in the country, our recidivism rate is down 20 percent and that’s the second lowest in the country.""",Mark Obenshain,mostly-true
11864,"""97 percent of the work that Planned Parenthood does is about mammograms and preventative health.""",Martin O'Malley,half-true
11865,"""In 1960, we spent more than 3 percent of our GDP on infrastructure projects like the Interstate Highway. Today we spend less than 1 percent of our GDP on these vital investments.""",Gerry Connolly,half-true
11866,Says Donald Trump is for a single-payer health care system.,Rick Perry,half-true
11867,"Under President Barack Obama, income levels and unemployment numbers ""are worse now than just about ever"" for African-Americans.",Donald Trump,false
11868,"""Every year the First Coast Guard District saves 350 lives in the Northeast.""",Coast Guard,mostly-true
11869,"Planned Parenthood is ""the only health care that a significant number of women get. About 30 percent of women, that's their health care.""",Harry Reid,pants-fire
11870,"""We built a new prison every 10 days between 1990 and 2005 to keep up with our mass incarceration explosion of nonviolent offenders.""",Cory Booker,mostly-true
11871,"Says states not directly involved in the gay marriage lawsuits that reached the Supreme Court ""are not bound"" by the court’s ruling.",Ted Cruz,barely-true
11872,"Says in 2002, he ""won more Hispanic votes than Anglo votes, 60 percent in the state.""",Jeb Bush,mostly-true
11873,"Says Hillary Clinton ""refuses to testify before Congress"" about the 2012 attack in Benghazi.",Facebook posts,false
11874,"""Our last budget committed the highest level of need-based financial aid in state history.""",Scott Walker,mostly-true
11875,"Since Volvo spurned Georgia for South Carolina in early May, some 3,455 jobs promising more than $800 million in investments have come to the Peach State.",Chris Riley,true
11876,"Russia and China ""absolutely said pretty clearly"" they would not keep economic sanctions on Iran if the United States ""walked away from the deal.""",Bill O'Reilly,mostly-true
11877,"""The law says ... when a police officer stops you, do whatever he says and then deal with it later.""",Harry Houck,false
11878,"""Obama Makes Huge Move to BAN Social Security Recipients From Owning Guns""",Bloggers,false
11879,"Says his political opponents ""brought 100,000 protesters into our state.""",Scott Walker,false
11880,"""Forty percent of people in this country, illegally, are overstaying visas.""",Marco Rubio,mostly-true
11881,"""The majority of the Hispanic population and the growth (of the population) is U.S.-born.""",Jose Diaz-Balart,true
11882,"""The top one-tenth of 1 percent"" of Americans ""own almost as much wealth as the bottom 90 percent.""",Bernie Sanders,mostly-true
11883,"""House Republicans just passed a bill that makes it legal for single mothers to be fired by their employers.""",Occupy Democrats,false
11884,"The number of illegal immigrants in the United States is ""30 million, it could be 34 million.""",Donald Trump,pants-fire
11885,"""More than half of all drivers' licenses issued in California this year have gone to illegal aliens.""",NumbersUSA,mostly-true
11886,"""The economy, by every metric, is better than when I came into office.""",Barack Obama,barely-true
11887,"Since 2009, ""we've cut homelessness (among veterans) by a third.""",Barack Obama,mostly-true
11888,"Under Gov. Scott Walker, Wisconsin ""projected a $1 billion (budget) surplus and it turns out to be a deficit of $2.2 billion.""",Donald Trump,barely-true
11889,The National Technical Information Service spends millions of taxpayer dollars to print and sell government documents that are available free in online searches.,David Perdue,mostly-true
11890,"""With the exception of baby formula, the federal government does not require any food to carry an expiration date, and state laws vary widely.""",John Oliver,true
11891,"When President Abraham Lincoln signed his Emancipation Proclamation, ""there were over 300,000 slaveholders who were fighting in the Union army.""",Chuck Baldwin,pants-fire
11892,"Says David Jolly refused ""to cut spending for a national greenhouse in D.C.""",Club for Growth,true
11893,"Says under his leadership ""Wisconsin median household income"" is up 2.7%, while it is down 1.3% nationally under President Obama.",Scott Walker,barely-true
11894,"""All (Maryland) crabs are born in Virginia.""",Terry McAuliffe,mostly-true
11895,"""(Hillary Clinton's State Department) actually admonished one of her ambassadors because he wasn’t using the proper server.""",Rand Paul,true
11896,"""I deployed the Texas National Guard"" to the Texas-Mexico border. ""And the policy worked; apprehensions at the border declined 74 percent.""",Rick Perry,barely-true
11897,"""One of the reasons I believe we’re in trouble in Yemen is we lost the population on drone strikes issues. That’s what stirred up the population. That’s what is happening in Yemen.""",Lincoln Chafee,half-true
11898,"Says Donald Trump ""has supported a Canadian-style universal health care system.""",Erick Erickson,true
11899,President Barack Obama met with Iranian president Hassan Rouhani.,Restoration PAC,pants-fire
11900,"""Obama’s Clean Power Plan ... eliminates coal-fired power plants.""",Robert Henneke,barely-true
11901,"The Texas Capitol faces South toward Goliad, in memory of the most horrific battle of the Texas Revolution.",Christine Gilbert,false
11902,"The Iran deal says that ""if any other country tries to undermine (Iran's) nuclear program, we have to help them defend themselves against Israel, Egypt, Saudis, our own allies.""",Marco Rubio,false
11903,"The United States is ""fighting with Iraqis to defeat ISIS along with Iran. But in Yemen we're fighting Iran with Iraqis and Saudis.""",Jon Stewart,half-true
11904,"The five Guantanamo detainees swapped for Bowe Bergdahl ""are right now back on the battlefield.""",Donald Trump,false
11905,"The federal deficit would pay for 40 gallons of ""New Hampshire maple syrup"" for everyone in the United States.",Kelly Ayotte,half-true
11906,"President Barack Obama ""said at the beginning of the negotiations that the basic approach was to dismantle Iran’s nuclear program in exchange for dismantling the sanctions.""",Tom Cotton,false
11907,"""Although we have twice the population of Greece, the state of Florida employs three times fewer government employees.""",Jeff Atwater,half-true
11908,"""Al Franken said almost exactly what Trump said"" about John McCain’s military record.",Rush Limbaugh,half-true
11909,"If women seeking an abortion see their ultrasound, ""the odds are pretty high they're going to keep the baby.""",Scott Walker,barely-true
11910,The murder rate in Atlanta is on the rise this year.,Atlanta neighborhood association,true
11911,"""We borrow a million dollars every minute.""",Rand Paul,mostly-true
11912,"""A law was passed, apparently in the Clinton administration, about whether, in recruiting offices … Marines or other military should be able to have guns. Apparently it is prohibited.""",Jeb Bush,barely-true
11913,"Says John McCain ""has done nothing to help the vets.""",Donald Trump,false
11914,"""By declaring that Pluto was no longer a planet, the (International Astronomical Union) put into place a planetary definition that would have even declassified Earth as a planet if it existed as far from the sun as Pluto does.""",Other Space,half-true
11915,Says Bill and Hillary Clinton attended Donald Trump's last wedding.,Carlos Curbelo,true
11916,"Says ""Scott Walker’s bad budget includes: No weekend for workers.""",Wisconsin State AFL-CIO,false
11917,"""ISIS supporter tweeted at 10:34 a.m. Shooting began at 10:45 a.m."" in Chattanooga, Tenn.",Pamela Geller,false
11918,"Georgia has more than 700 law enforcement agencies, and fewer than 20 percent of them are state-certified.",Police Chief Billy Grogan,mostly-true
11919,"""If you're from Syria and you're a Christian, you cannot come into this country"" as a refugee.",Donald Trump,false
11920,"""Texas’ high school graduation rate went from 27th in the country in 2002, to second highest in the country in 2013.""",Rick Perry,barely-true
11921,"""The actual deportations from the interior of the country are way down"" under President Obama.",Bob Goodlatte,true
11922,"""Four times, I said, he (John McCain) is a hero, but you know ... people choose selective pieces.""",Donald Trump,barely-true
11923,"The Iran deal ""violates promises the president made to the American people."" ... ""It is not an anytime, anywhere inspection process.""",Marco Rubio,half-true
11924,"""It’s commercial vehicles, 18 wheelers and above … that cause 90 plus percent of the damages on our highways and bridges.""",Gina Raimondo,half-true
11925,"""In a few months, this deal would give Iran $150 billion"" for its $300 billion to $400 billion economy, which is ""like $8 trillion flowing into the United States treasury.""",Ron Dermer,barely-true
11926,"""Texas still owns all of its public lands. If the federal gov't wants to create a park, they must ask permission!""",Glenn Hegar,half-true
